AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,HH_TOT,HH_A_BINARIO
2023,1646,2,COLEGIO CRISTIANO SAN LUCAS,13,RM,131,13126,QUINTA NORMAL,134,SANTIAGO PONIENTE,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3638,2,LICEO BICENTENARIO MARTA BRUNET CÁRAVES,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,78,2646,0,0,0,0,1,44,2,71,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,2849,1.0
2023,3639,0,LICEO NARCISO TONDREAU,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,76,2535,4,162,0,0,1,44,1,30,0,0,1,44,1,44,1,30,0,0,0,0,0,0,0,0,0,0,0,0,85,2889,1.0
2023,3640,4,INSTITUTO SUPERIOR DE COMERCIO PROFESOR FERNANDO PÉREZ BECERRA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,5,4,0,1,34,1058,1,44,0,0,1,44,0,0,0,0,1,44,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,39,1278,1.0
2023,3641,2,INSTITUTO INDUSTRIAL SUPERIOR DE CHILLÁN,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,5,4,0,1,42,1550,0,0,0,0,1,44,2,36,0,0,1,44,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1718,1.0
2023,3642,0,INSTITUTO TÉCNICO MABEL CONDEMARÍN GRIMBERG,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,5,4,0,1,22,658,0,0,1,44,1,44,2,48,0,0,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,28,882,1.0
2023,3643,9,LICEO MARTIN RUIZ DE GAMBOA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,22,587,0,0,0,0,1,44,1,9,0,0,1,44,1,44,1,13,0,0,0,0,0,0,0,0,0,0,0,0,27,741,1.0
2023,3644,7,ESCUELA NUEVA ESPERANZA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,6,159,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,203,0.0
2023,3645,5,LICEO VIDA NUEVA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,12,324,0,0,0,0,1,44,0,0,0,0,1,44,1,30,1,43,0,0,0,0,0,0,0,0,0,0,0,0,16,485,1.0
2023,3646,3,ESCUELA HOGAR SARA HURTADO GARCIA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3647,1,ESCUELA HOGAR REPUBLICA DEL BRASIL,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3649,8,ESCUELA ESPECIAL LAS ACACIAS,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,14,505,0,0,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,593,1.0
2023,3650,1,ESCUELA PARVULARIA FEDERICO FROEBEL,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3652,8,ESCUELA CULTURA Y DIFUSION ARTISTICA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3653,6,ESCUELA BASICA DIEGO BARROS ARANA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3654,4,ESCUELA BASICA LOS HEROES,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3655,2,ESCUELA ESTADOS UNIDOS DE AMERICA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3656,0,LICEO POLIVALENTE JUAN PACHECO ALTAMIRANO,16,NUBLE,161,16103,CHILLÁN VIEJO,81,ÑUBLE,2,1,0,1,52,1889,2,88,0,0,1,44,2,88,0,0,1,44,1,44,1,44,0,0,1,44,0,0,0,0,0,0,0,0,61,2285,1.0
2023,3657,9,LICEO LIBERTADOR BERNARDO O´HIGGINS RIQUELME,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,46,1636,0,0,1,44,1,44,1,30,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,50,1798,1.0
2023,3658,7,ESCUELA REPUBLICA DE ISRAEL,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3659,5,ESCUELA ARTURO MERINO BENITEZ,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,29,1027,0,0,0,0,1,44,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1115,1.0
2023,3660,9,ESCUELA GABRIELA MISTRAL,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,19,665,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,709,1.0
2023,3661,7,ESCUELA JAVIERA CARRERA VERDUGO,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3662,5,LICEO REPÚBLICA DE ITALIA ARTURO BONOMETTI BROGI,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,65,2201,0,0,0,0,1,44,3,132,0,0,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,71,2465,1.0
2023,3663,3,ESCUELA REPUBLICA DE MEXICO,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,71,2535,0,0,1,44,1,44,3,112,0,0,1,44,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,78,2823,1.0
2023,3664,1,ESCUELA BASICA EL TEJAR,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,21,767,1,44,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,855,1.0
2023,3666,8,ESCUELA MARIA AMALIA SAAVEDRA MARTINEZ,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,18,642,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,686,1.0
2023,3667,6,ESCUELA BASICA LA CASTILLA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,20,670,0,0,0,0,1,44,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,755,1.0
2023,3668,4,ESCUELA PALESTINA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,27,940,0,0,0,0,1,44,2,66,0,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1138,1.0
2023,3669,2,ESCUELA BÁSICA ROSITA O´HIGGINS RIQUELME,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,24,881,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,925,1.0
2023,3670,6,ESCUELA BASICA REYES DE ESPANA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,58,2020,0,0,0,0,1,44,2,69,0,0,0,0,1,44,1,44,0,0,1,44,0,0,0,0,0,0,0,0,64,2265,1.0
2023,3671,4,ESCUELA BASICA JUAN MADRID AZOLA,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,30,1081,0,0,0,0,1,44,2,71,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1240,1.0
2023,3672,2,ESC. BASICA ARTURO MUTIZABAL SOTOMAYOR,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,21,616,0,0,0,0,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,24,747,1.0
2023,3673,0,ESCUELA BASICA QUILAMAPU,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,23,687,0,0,0,0,1,44,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,761,1.0
2023,3674,9,ESCUELA REPUBLICA DE PORTUGAL,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023,3675,7,ESCUELA BASICA JOSE MARIA CARO RODRIGUEZ,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,1,21,701,0,0,0,0,1,44,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,788,1.0
2023,3676,5,,16,NUBLE,161,16101,CHILLÁN,81,ÑUBLE,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
